id,transaction_id,client_id,datetime,amount,currency,merchant,transaction_type,ip_address,category,country_code,region,device_type,session_id,channel,recipient_id,transaction_purpose
2509,a5b6c7d8-e9f0-a1b2-c3d4-e5f6a7b8c9d0,client_871,2025-03-08 09:25:18,678.9,USD,Amazon,withdrawal,104.16.78.90,entertainment,US,Los Angeles,smartphone,e8f9a0b1-c2d3-e4f5-a6b7-c8d9e0f1a2b3,mobile_app,,
2510,c7d8e9f0-a1b2-c3d4-e5f6-a7b8c9d0e1f2,client_1043,2025-02-22 14:05:32,152890.45,CNY,,p2p,218.67.89.123,p2p,CN,Beijing,smartphone,a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5,mobile_app,client_735,gift
2511,e9f0a1b2-c3d4-e5f6-a7b8-c9d0e1f2a3b4,client_389,2025-03-29 18:40:15,75432.8,USD,,p2p,45.67.89.123,p2p,US,New York,smartphone,c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7,mobile_app,client_257,debt
2512,a1b2c3d4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,client_225,2025-04-19 11:30:25,1578.35,RUB,Wildberries,deposit,185.67.89.123,retail,RU,Moscow,smartphone,e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9,mobile_app,,
2513,c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8,client_678,2025-03-01 08:15:40,498.6,EUR,Zalando,withdrawal,91.234.56.78,retail,DE,Berlin,PC,a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1,web,,
2514,e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0,client_103,2025-04-13 16:22:55,85690.25,CNY,WeChat Pay,deposit,123.45.67.89,entertainment,CN,Shanghai,smartphone,c8d9e0f1-a2b3-c4d5-e6f7-a8b9c0d1e2f3,mobile_app,,
2515,a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2,client_521,2025-02-08 13:50:30,67890.15,USD,,p2p,67.89.123.45,p2p,US,Chicago,smartphone,e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5,mobile_app,client_1071,shared_expense
2516,c9d0e1f2-a3b4-c5d6-e7f8-a9b0c1d2e3f4,client_358,2025-03-22 09:40:15,2345.67,RUB,Tinkoff,withdrawal,195.67.89.123,utilities,RU,Novosibirsk,tablet,a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7,web,,
2517,e1f2a3b4-c5d6-e7f8-a9b0-c1d2e3f4a5b6,client_748,2025-04-05 19:15:25,1567.8,EUR,Carrefour,deposit,78.90.123.45,retail,FR,Paris,smartphone,c4d5e6f7-a8b9-c0d1-e2f3-a4b5c6d7e8f9,mobile_app,,
2518,a3b4c5d6-e7f8-a9b0-c1d2-e3f4a5b6c7d8,client_912,2025-03-16 14:30:45,1234.56,USD,Uber,withdrawal,45.67.89.123,travel,US,New York,smartphone,e6f7a8b9-c0d1-e2f3-a4b5-c6d7e8f9a0b1,mobile_app,,
2519,c5d6e7f8-a9b0-c1d2-e3f4-a5b6c7d8e9f0,client_27,2025-02-23 10:05:18,125000.35,CNY,,p2p,218.67.89.123,p2p,CN,Beijing,smartphone,a8b9c0d1-e2f3-a4b5-c6d7-e8f9a0b1c2d3,mobile_app,client_14,debt
2520,e7f8a9b0-c1d2-e3f4-a5b6-c7d8e9f0a1b2,client_490,2025-04-20 21:45:32,2890.45,RUB,Ozon,deposit,176.32.45.87,retail,RU,Moscow,smartphone,c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5,mobile_app,,
2521,a9b0c1d2-e3f4-a5b6-c7d8-e9f0a1b2c3d4,client_169,2025-03-09 07:20:15,78954.3,USD,,p2p,104.16.78.90,p2p,US,Los Angeles,smartphone,e2f3a4b5-c6d7-e8f9-a0b1-c2d3e4f5a6b7,mobile_app,client_747,gift
2522,c1d2e3f4-a5b6-c7d8-e9f0-a1b2c3d4e5f6,client_642,2025-04-27 15:35:25,456.78,EUR,Aldi,withdrawal,85.214.132.67,retail,DE,Munich,tablet,a4b5c6d7-e8f9-a0b1-c2d3-e4f5a6b7c8d9,web,,
2523,e3f4a5b6-c7d8-e9f0-a1b2-c3d4e5f6a7b8,client_316,2025-02-16 12:10:40,789.12,RUB,Wildberries,deposit,195.67.89.123,retail,RU,St. Petersburg,smartphone,c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1,mobile_app,,
2524,a5b6c7d8-e9f0-a1b2-c3d4-e5f6a7b8c9d0,client_836,2025-03-23 18:45:55,3456.78,USD,Amazon,withdrawal,72.14.192.45,entertainment,US,Chicago,smartphone,e8f9a0b1-c2d3-e4f5-a6b7-c8d9e0f1a2b3,mobile_app,,
2525,c7d8e9f0-a1b2-c3d4-e5f6-a7b8c9d0e1f2,client_73,2025-04-12 09:30:30,92500.65,CNY,Alipay,deposit,123.45.67.89,entertainment,CN,Shanghai,smartphone,a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5,mobile_app,,
2526,e9f0a1b2-c3d4-e5f6-a7b8-c9d0e1f2a3b4,client_245,2025-03-02 14:15:15,125800.4,USD,,p2p,198.51.100.78,p2p,US,New York,smartphone,c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7,mobile_app,client_663,shared_expense
2527,a1b2c3d4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,client_559,2025-02-09 11:40:25,87650.25,CNY,,p2p,114.89.12.183,p2p,CN,Beijing,smartphone,e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9,mobile_app,client_967,debt
